Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
crepe kurtis,₹140,3.8,8 Reviews,Bhavani creation mart,"3.66,154 Ratings",83Followers,29Products
Women's Cotton Jaipuri printed short Kurti  size xs 34 to  xxxl  46,₹300,3.8,32 Reviews,MAHIMA CREA,"4.032,737 Ratings",673Followers,86Products
Women Rayon Straight Embroidered Sequinned Kurti,₹257,4.0,4628 Reviews,mk_art,"4.036,936 Ratings",985Followers,42Products
Aishani Sensational Kurtis,₹372,3.8,2002 Reviews,krit_enterprise,"3.889,881 Ratings","1,097Followers",98Products
Anjana Trendy Attractive Kurtis,₹302,3.9,102 Reviews,Anjana NX,"4.03,077 Ratings",79Followers,48Products
Trendy Refined Kurtis,₹462,3.5,473 Reviews,AKSHAYAN CHIKAN,"3.517,502 Ratings",519Followers,136Products
Jivika Fashionable Kurtis,₹297,4.1,885 Reviews,SUBHLAXMI FASHION,"4.125,381 Ratings",503Followers,33Products
Kurta for women,₹282,4.0,77 Reviews,SONAFAB,4.0631 Ratings,16Followers,10Products
Fancy Woman Gown Kurti,₹424,3.7,303 Reviews,Vidya Fashion Mart,"3.74,924 Ratings",137Followers,94Products
Aagyeyi Superior Kurtis,₹563,4.0,149 Reviews,sanwariya creation,"4.072,192 Ratings","2,712Followers",133Products
SUMIT ENTERPRISES PRINTED SLEEVELESS ANARKALI,₹343,4.2,148 Reviews,Sumit enterprises,"4.07,045 Ratings",153Followers,47Products
Ragini Enterprises _Women's Rayon Anarkali Hand Block Printed Kurti,₹361,4.0,24 Reviews,RAGINI-ENTERPRISES,4.0529 Ratings,14Followers,14Products
Women's Daily Wear Printed Aline Kurti (Combo Pack Of 2),₹286,3.8,974 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Myra Ensemble Kurtis With Koti,₹225,3.8,138 Reviews,New gravity export,"3.816,141 Ratings",277Followers,155Products
Bablu Garment Women's Red Rayon Embroidered Printed Anarkali Dress,₹506,4.1,3427 Reviews,BABLU GARMENTS,"4.115,850 Ratings",633Followers,27Products
Umbrella Kurti New,₹459,4.2,186 Reviews,Sabhyata Creation,"4.03,464 Ratings",117Followers,30Products
Rayon Printed Gown,₹303,3.8,155 Reviews,Pari Fashion,"3.920,407 Ratings",293Followers,76Products
Women's Crepe straight Kurti 3xl 4xl,₹186,3.9,195 Reviews,kalpesh,"3.831,082 Ratings","1,057Followers",82Products
blue pom pom4LLLLL,₹312,4.0,448 Reviews,MAVER ENTERPRISES,"4.019,170 Ratings",248Followers,28Products
Chikankari,₹248,3.5,69 Reviews,Indian Chikan Factory,"3.58,199 Ratings",556Followers,270Products
women khadi cotton kurti,₹294,3.9,91 Reviews,Bhagayshree,"4.05,441 Ratings",149Followers,14Products
ARZU EMB.KURTIS,₹312,4.1,728 Reviews,ARZU,"4.119,619 Ratings","1,254Followers",16Products
Women Fashion Cotton Flared Straight Kurti | Women Fashion Cotton Flared Straight Kurti,₹563,3.8,2319 Reviews,ROYAL STYLE,"3.820,157 Ratings",709Followers,71Products
Jivika Superior Kurtis,₹216,3.8,31 Reviews,HAB FASHION,3.8153 Ratings,5Followers,4Products
Anarkali,₹295,3.8,253 Reviews,MA SYLA GARMENTS,"3.8100,832 Ratings","2,388Followers",7Products
JAIPURI RAYON ANARKALI KURTI,₹392,4.0,96 Reviews,F.K.FASHION,"3.72,545 Ratings",84Followers,28Products
Aagyeyi Alluring Kurtis,₹322,4.0,460 Reviews,Krish KC,"4.06,845 Ratings",125Followers,19Products
Kurti,₹233,3.8,60 Reviews,GEETAJI FASHION,"3.89,532 Ratings",108Followers,9Products
JD PRINTED ANARKALI KURTA,₹421,3.9,128 Reviews,rk_textile,"3.89,263 Ratings",239Followers,"1,916Products"
Women Solid Short Panjabi Red Kurtis,₹184,3.7,17 Reviews,BEND THE TRENDS,"3.96,314 Ratings",136Followers,20Products
Stylish Women's Crepe MultiColor Digital Printed Straight Kurti,₹297,4.0,53 Reviews,Saanchi fashion,"3.858,604 Ratings","1,182Followers","7,756Products"
Myra Ensemble Kurtis With Koti,₹199,3.9,68 Reviews,Social style,"3.93,258 Ratings",124Followers,76Products
Abhisarika Superior Kurtis,₹629,3.8,115 Reviews,MD FASHION HUB,"3.77,310 Ratings",161Followers,34Products
Charvi Sensational Kurtis,₹448,3.6,395 Reviews,Zeenat Chikankari Lucknow,"3.643,108 Ratings",773Followers,126Products
Kashvi Graceful Kurtis,₹515,3.6,3523 Reviews,Rusda chikan factory,"3.541,952 Ratings",604Followers,87Products
Aagyeyi Voguish Kurtis Straight  for Girl's & Women's,₹196,3.8,903 Reviews,cllothing,"3.89,233 Ratings",109Followers,20Products
KURTIS,₹297,4.1,1440 Reviews,SUBHLAXMI FASHION,"4.125,381 Ratings",503Followers,33Products
Womens anarkali printed & Embroidery kurtis,₹338,4.0,85 Reviews,DD TEXTILE,"4.01,897 Ratings",43Followers,20Products
Women Kurtis,₹347,3.9,55 Reviews,MADHAVCREATION,"3.91,633 Ratings",28Followers,24Products
New Ethnic 4 You Women's Crepe Straight Kurti,₹172,3.7,403 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Staright Sleeveless Kurta for Women (Blue),₹260,4.1,145 Reviews,MS Textiles,"4.11,106 Ratings",24Followers,9Products
GOLD PRINT kurti,₹292,3.9,170 Reviews,BELLA CREATIONS,"3.93,264 Ratings","2,340Followers",32Products
Chikankari kurti,₹476,3.8,354 Reviews,GOLDEN ENTERPRISES,"3.75,837 Ratings",168Followers,88Products
Adrika Sensational Kurtis,₹283,3.9,1965 Reviews,KRIPRARECHI,"3.830,095 Ratings","1,566Followers",12Products
Women's Embroiered Rayon Anarkali kurtin,₹329,4.0,66 Reviews,BAIRAJ,"4.043,071 Ratings","1,115Followers",44Products
Women Kurtis,₹302,3.8,147 Reviews,SIDDHARTH ENTERPRISE,"3.9164,084 Ratings","1,103Followers",168Products
Crep Fabric Fancy A-Line  Digital printed Kurti for Women,₹186,3.9,61 Reviews,RVK FEXTY,"3.71,615 Ratings",95Followers,83Products
Banita Drishya Kurtis,₹610,3.7,2075 Reviews,Laxminarayan Sree,"3.737,173 Ratings",860Followers,367Products
Rayon Anarkali Kurta with Jacket,₹348,3.8,295 Reviews,NAMA FEBRICS#,"3.910,210 Ratings",156Followers,68Products
Trendy Women 3 Piece Combo Printed Kurti,₹438,3.9,130 Reviews,Mahaveer Industries,"3.844,076 Ratings",607Followers,670Products
Women's Regular Fit Crepe Aline Kurti,₹172,3.7,1577 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Trendy Petite Kurtis,₹363,3.9,249 Reviews,Mani exports,"4.0134,881 Ratings","3,811Followers",55Products
Varsha Fab Rayon Bandhani Round Neck Embroidery Work On Neck Kurta For Woman | Work- Embroidery Work On Neck | Sleeves - 3/4 Sleeves | Length- 40-44,₹362,4.1,144 Reviews,VARSHA FAB,"4.011,715 Ratings",479Followers,102Products
Women's Aline Multicolor Crepe Straight Kurta (Combo Pack Of 4 Kurti),₹521,4.0,130 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Ok Quest Red Rayon Embroidered Long kurti for women,₹363,4.1,152 Reviews,KALINDI FASHION,"3.95,355 Ratings",258Followers,35Products
Myra Fabulous Kurtis,₹312,4.1,587 Reviews,MAMTATEXTILES,"4.112,641 Ratings",195Followers,32Products
Women's Digital Printed Full Stitched Straight Cut Kurti,₹179,3.7,1896 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Women's Aline Straight Crepe Kurta (Combo Pack Of 2 Kurti),₹295,3.9,118 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Crepe A-Line Printed  Gorgeous Stitched Kurtis (Pack of 2 Kurtis),₹295,3.8,1423 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Women Anarkali Jaipur kurti,₹322,3.9,3561 Reviews,Anvi Textile,"3.932,963 Ratings","1,095Followers",67Products
Pure Cotton Kurti,₹286,3.6,45 Reviews,SHRI HARI OM CREATION,"3.71,057 Ratings",47Followers,13Products
FABRIC BY AMERICAN CREPE WITH RASAL NET 3/4 SLEEVE ROUND NECK BELOW KNEE LENGTH WOMEN AND GIRL KURTIS,₹181,4.0,5 Reviews,CLORTH,3.8482 Ratings,18Followers,24Products
Women Cotton Solid 3/4th Sleeve Round-neck Short Kurta- BLACK,₹300,4.2,30 Reviews,SUDHI KURTIS,"4.01,562 Ratings",51Followers,27Products
REMBO BLACK SHORTS KURTI,₹385,4.0,2143 Reviews,Hempal Creation,"4.017,774 Ratings",355Followers,18Products
Women's  Rayon Anarkali Kurti,₹465,4.1,333 Reviews,ASHA FABRICS,"4.161,823 Ratings","4,314Followers",48Products
Lucknowi chikankari kurti with inner and mirror work,₹591,3.8,111 Reviews,MR CHIKAN INDUSTRY,"3.612,782 Ratings",665Followers,276Products
BLACK YOG RED BIG FLOWER  PRINT FULL SEELVE CREPE GOWN,₹270,3.7,157 Reviews,ethnic_center001,"3.618,956 Ratings",259Followers,58Products
RISHABH NEW KURTIS,₹294,3.9,79 Reviews,RISHABH TEXT,"3.86,233 Ratings",604Followers,195Products
Woman Royal Blue Printed Anarkali Kurti,₹329,3.9,737 Reviews,ASHISH PRINT,"3.820,773 Ratings",302Followers,40Products
Rayon printed straight kurta,₹362,4.1,303 Reviews,Shivam Finishing Works,"3.93,468 Ratings",89Followers,18Products
LC PINK EMB KURTI,₹338,3.8,63 Reviews,LEPSWAL CREATION,"3.81,160 Ratings",15Followers,7Products
Woman Ikkat printed cotton Kurtis,₹257,4.0,74 Reviews,Golden Treders,"3.81,173 Ratings",43Followers,46Products
Adrika Fashionable Kurtis,₹430,3.6,179 Reviews,AKSHAYAN CHIKAN,"3.517,502 Ratings",519Followers,136Products
Adrika Attractive Kurtis,₹230,3.7,NA,Ganesh_Fashion,"3.75,004 Ratings",118Followers,57Products
RAMBO SHORT KURTI,₹357,4.1,27 Reviews,AARVI DESIGNER01,3.9417 Ratings,6Followers,12Products
Women Long Fit & Flare Sttiched Gown(Blue)_GW160,₹246,3.8,981 Reviews,HIVA WESTERN COLLECTION,"3.8203,586 Ratings","2,148Followers",449Products
Cotton kurti,₹219,4.1,243 Reviews,SUNGLOW FASHIONS,"4.01,922 Ratings",59Followers,9Products
Attractive Shrug Kurti,₹579,3.7,176 Reviews,AscentRetail,"3.71,922 Ratings",88Followers,44Products
WOMEN COTTON LERIYU KURTIS,₹191,4.1,3 Reviews,AtoZ Mart4,"4.010,276 Ratings",110Followers,7Products
Kurti,₹339,3.9,166 Reviews,trending kurties,"3.832,605 Ratings","1,374Followers",40Products
Women's Multicolor Daily Use Crepe Straight Kurti (Pack Of 2 Kurta),₹295,3.8,90 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,518Followers",457Products
"Casual American Crepe And Rasal Net Pack Of 2 Round-Neck 3/4th Length Sleeves (45""Inches)",₹299,3.8,109 Reviews,CE Dresses0,"3.9272,746 Ratings","2,644Followers","1,288Products"
crepe kurtis,₹140,3.7,NA,Bhavani creation mart,"3.66,154 Ratings",83Followers,29Products
Sleeveless Women Printed  Straight Kurta (wine),₹199,4.0,44 Reviews,SAWAAN KURTIS,4.0583 Ratings,10Followers,20Products
Women's Aline Multi color crepe Anarkali Kurti,₹288,3.9,39 Reviews,Nilkanth enterprises,"3.828,284 Ratings",318Followers,116Products
Women's Regular Fit Straight Crepe Kurti (Combo Pack Of 3),₹412,4.0,259 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
embroidered anarkali kurta for women,₹515,3.9,148 Reviews,CTM TEXTILES,"3.913,882 Ratings",231Followers,59Products
Plus5 White Straight Kurti,₹225,3.9,172 Reviews,CASH TRENDZ,"4.05,347 Ratings",732Followers,20Products
Trendy Alluring Kurtis,₹648,3.9,388 Reviews,Vanshicreation,"3.83,312 Ratings",134Followers,65Products
Women Printed Cotton Blend Straight Kurti (Purple),₹245,3.6,93 Reviews,Aarvi Fashion Plus,"3.62,195 Ratings",79Followers,308Products
