Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
Aagam Superior Kurtis,₹281,4.2,2766 Reviews,ALYTHEA CLOTHING,"4.237,619 Ratings","1,003Followers",11Products
"womens embroidery anarkali kurta, trendy kurta, bollywood kurta, flared kurta, aline kurta, festival kurta",₹318,4.1,433 Reviews,ANU TARA,"3.927,678 Ratings",225Followers,19Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹900,3.7,19 Reviews,CREPE KING,"3.613,440 Ratings",684Followers,"2,668Products"
Neetvi Demanding  unique cotton   striped streight pink kurti for office as well as  daily wear for summers as well as winters to enhance your dressing style and fashion needs.,₹264,4.1,2037 Reviews,SHAGUN CREATIONS_JAIPUR,"4.073,803 Ratings","4,019Followers",37Products
Aakarsha Superior Kurtis,₹496,4.2,3240 Reviews,Jai vijay Creation,"4.125,468 Ratings",389Followers,5Products
Women's  Floral Printed  Kurti Fabric,₹305,4.0,3 Reviews,Unique Enterprise2022,"4.03,045 Ratings",376Followers,94Products
rayon kurti under 300,₹199,3.9,26 Reviews,R N EXIM,"4.02,486 Ratings",44Followers,269Products
kurtis,₹191,4.0,1004 Reviews,AtoZ Mart4,"4.010,276 Ratings",110Followers,7Products
Stylish Women's Poly Crepe Digital Printed Kurti.,₹999,3.7,11 Reviews,CREPE KING,"3.613,440 Ratings",684Followers,"2,668Products"
BGS_Green_Printed_Kurti,₹273,3.9,50 Reviews,BGS FASHION,3.9555 Ratings,23Followers,19Products
Beautiful Pom-Pom embroidered Anarkali Rayon Kurti,₹434,3.9,5 Reviews,Khatushyam creation,3.789 Ratings,10Followers,99Products
Stylish Women's Crepe Yellow Color  Zig Zag Printed Straight Kurti,₹183,3.7,2776 Reviews,Saanchi fashion,"3.858,604 Ratings","1,182Followers","7,756Products"
Aagyeyi Refined Kurtis,₹307,3.9,5013 Reviews,Row Nak,"3.9211,359 Ratings","2,956Followers",17Products
Bisso Fashion- Women's Printed Crepe Anarkali Kurti (Wine),₹424,NA,NA,Bisso Fashion,3.438 Ratings,5Followers,20Products
"Woman Rayon Indio Long Anarkali Kurta Sleeves-3/4 Sleeves, Tassels On Sleeves , Color Not Come After Wash",₹450,4.2,440 Reviews,SANSKRITI SYNFAB#,"4.23,255 Ratings",114Followers,17Products
SINGLE F KURTI,₹233,3.8,1834 Reviews,SALOME DESIGNERS,"3.820,064 Ratings","2,877Followers",43Products
Women Embroidered Cotton Blend Straight Kurta  (Maroon),₹385,4.3,24 Reviews,VORTIGA,"3.81,020 Ratings",35Followers,50Products
Charvi Sensational Kurtis,₹265,3.7,3485 Reviews,unnati international,"3.8120,579 Ratings","1,340Followers",80Products
Aishani Superior Kurtis,₹429,3.8,188 Reviews,sk_enterprise,"3.73,213 Ratings",64Followers,68Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,3.9,24 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Alisha Graceful Kurtis,₹583,3.6,2011 Reviews,Universal Chikan Handicraft,"3.613,014 Ratings",713Followers,39Products
Women Not Available Crepe Kurti,₹292,3.7,13595 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
Crepe Combo Kurti Printed Designer Kurti - 6 Top Kurti Combo,₹900,3.7,3 Reviews,Space Stone,3.9419 Ratings,25Followers,"2,360Products"
TRADITIONAL RAASTHANI FOIL LAHRIA DESIGNER KOTA DORIYA KURTI,₹343,3.8,964 Reviews,FATEH,"3.85,377 Ratings",130Followers,91Products
Nirali New Trendy Women's  Silk Kurti,₹177,3.9,746 Reviews,NIRALI TEXTILES,"3.910,796 Ratings",338Followers,10Products
Pankti Short Kurta for Women casual/formal and daily wear,₹361,NA,NA,PANKTI CREATION,3.8782 Ratings,46Followers,39Products
Women Rayon Front Slit Solid Kurti,₹239,3.9,8632 Reviews,RONIKA EMBROIDERY,"3.895,533 Ratings",742Followers,67Products
Women's Ethnic Wear Multi Color Straight Kurti Pack of 3,₹498,NA,NA,NANDA_DHARM,"3.8170,050 Ratings","2,196Followers",205Products
Women's cotton embroidery A line kurti,₹361,4.0,2269 Reviews,Shree Varahi Export,"4.032,546 Ratings","1,306Followers",37Products
pink bandhej jaipuri kurti or pent,₹386,3.9,939 Reviews,ASRA GARMENTS,"3.96,362 Ratings",125Followers,31Products
Printed Kurta,₹322,3.5,1 Reviews,A & A Exporter,"3.731,236 Ratings",203Followers,34Products
www.meesho.com | 504: Gateway time-out,NA,NA,NA,NA,NA,NA,NA
Anarkali,₹305,3.9,375 Reviews,RKSHIKA TEXTILES,"3.94,421 Ratings",135Followers,2Products
Banita Superior Kurtis,₹591,2.7,3 Reviews,GANPATI CREATION.,4.068 Ratings,7Followers,6Products
Women's Aline Pink Color Crepe Anarkali Kurti,₹247,3.8,225 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Kurtis,₹429,3.5,542 Reviews,ZAIN ENTERPRISES,"3.519,158 Ratings",519Followers,158Products
Women's Fashion Straight Crepe Multicolor Kurti (Pack of 5),₹661,NA,NA,Crepe ki kurti,"3.81,719 Ratings",141Followers,"14,044Products"
Chitrarekha Ensemble Kurtis anarkali kurti,₹298,3.9,329 Reviews,Tulasi arts and kurtis,"3.910,724 Ratings",748Followers,70Products
Dsk Studio Women's Crepe Straight Kurti (Combo Pack 2 Kurta ),₹295,3.9,637 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
A LINE KURTI,₹571,NA,NA,ZENGARI FASHION,3.6175 Ratings,17Followers,120Products
Kurtis,₹249,3.8,4345 Reviews,Navya Enterprise,"3.841,324 Ratings",863Followers,62Products
Womens Kurti Embroidery Work & Gold printed Bottle Green colour Straight Kurti,₹257,3.9,578 Reviews,SANJAR COLLECTION,"3.94,851 Ratings",250Followers,3Products
Abhisarika Fashionable Kurtis,₹311,4.1,1069 Reviews,MAMTATEXTILES,"4.112,641 Ratings",195Followers,32Products
Beige and Grey Color Koti Kurti For Women's And Girl,₹196,3.9,346 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
